q_group_key,hkl,branch,table,row,point_type,source,selection_origin,detector_display_x,detector_display_y,detector_native_x,detector_native_y,caked_2theta,caked_phi,residual_2theta,residual_phi_wrapped,residual_norm
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,sim_saved_caked,entry_visual_caked,caked,1811.420825960439,1374.4970483041675,1374.4970483041675,1187.579174039561,29.343273417986975,-58.32021751677512,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1624.5029516958325,1811.420825960439,1374.4970483041675,1187.579174039561,29.342453627280364,-58.25,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1624.5029516958325,1811.420825960439,1374.4970483041675,1187.579174039561,29.342453627280364,-58.25,-0.5199505468375385,0.9104875137054478,1.0484922907538154
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",1,302,122,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,2431.2297173564993,146.69524963344867,146.69524963344867,567.7702826435007,66.78590558220081,-34.02971731763864,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",1,302,122,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,2431.2297173564993,146.69524963344867,146.69524963344867,567.7702826435007,66.77482238396459,-34.24048552390124,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",1,302,122,manual_saved_caked,entry_caked_deg,caked,2518.0251556842863,112.11445803623793,112.11445803623793,480.97484431571365,67.6779617812805,-35.67914023128429,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",1,302,122,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,2518.0251556842863,112.11445803623793,112.11445803623793,480.97484431571365,67.68112731309063,-35.75,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",1,302,122,fit_observed,background/manual,caked,2520.0302314301593,113.19599485368539,112.11445803623793,480.97484431571365,67.68112731309063,-35.75,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",1,302,122,sim_saved_caked,entry_visual_caked,caked,2426.8122287366978,185.09552440131347,185.0955244013136,572.1877712633022,66.37311018180672,-34.62554234639941,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",1,302,122,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2813.9044755986865,2426.8122287366978,185.0955244013136,572.1877712633022,66.39492849000835,-34.75,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",1,302,122,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2813.9044755986865,2426.8122287366978,185.0955244013136,572.1877712633022,66.39492849000835,-34.75,-1.2861988230822732,1.0,1.6292045336599774
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,459.39657509479247,188.76593144954774,188.76593144954774,2539.6034249052077,66.46955379261506,35.21586855716072,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,459.39657509479247,188.76593144954774,188.76593144954774,2539.6034249052077,66.46807600647752,35.25,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,manual_saved_caked,entry_caked_deg,caked,507.73821941469373,169.73731512850944,169.73731512850944,2491.261780585306,66.32781914986715,33.52543804564243,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,507.73821941469373,169.73731512850944,169.73731512850944,2491.261780585306,66.32536408805245,33.71954796119542,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,fit_observed,background/manual,caked,503.016954987023,173.104380000595,169.73731512850944,2491.261780585306,66.32536408805245,33.71954796119542,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,sim_saved_caked,entry_visual_caked,caked,478.2483466697995,140.51957891363872,140.51957891363878,2520.7516533302005,66.81865181121891,33.80176919124224,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2858.4804210863613,478.2483466697995,140.51957891363878,2520.7516533302005,66.82485580254018,33.75,,,
"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2858.4804210863613,478.2483466697995,140.51957891363878,2520.7516533302005,66.82485580254018,33.75,0.499491714487732,0.030452038804583026,0.5004191238444528
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,2229.3224375650234,1302.3356342959576,1302.3356342959576,769.6775624349766,47.91024880358403,-69.2936730872124,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,2229.3224375650234,1302.3356342959576,1302.3356342959576,769.6775624349766,47.91426164223433,-69.25,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,manual_saved_caked,entry_caked_deg,caked,2243.639424507507,1269.005107016917,1269.005107016917,755.3605754924929,48.77360472167572,-67.54539633014544,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,2243.639424507507,1269.005107016917,1269.005107016917,755.3605754924929,48.77120719377949,-67.74449172179189,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,fit_observed,background/manual,caked,2244.7107630985925,1271.7818415229458,1269.005107016917,755.3605754924929,48.77120719377949,-67.74449172179189,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,sim_saved_caked,entry_visual_caked,caked,2212.716648735395,1269.4608131813775,1269.4608131813775,786.2833512646048,47.803640780831884,-66.7563960926617,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1729.5391868186225,2212.716648735395,1269.4608131813775,786.2833512646048,47.80491520079962,-66.75,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1729.5391868186225,2212.716648735395,1269.4608131813775,786.2833512646048,47.80491520079962,-66.75,-0.966291992979869,0.9944917217918885,1.3866268425245496
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,696.0079303111376,1269.0219764663927,1269.0219764663927,2302.9920696888626,47.699347610526864,66.63284733369008,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,696.0079303111376,1269.0219764663927,1269.0219764663927,2302.9920696888626,47.701194545797584,66.75,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,manual_saved_caked,entry_caked_deg,caked,708.6157575728677,1260.4622934743652,1260.4622934743652,2290.3842424271324,47.41821201303779,65.72980483407483,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,708.6157575728677,1260.4622934743652,1260.4622934743652,2290.3842424271324,47.41934426171434,65.75,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,fit_observed,background/manual,caked,708.4668078524714,1260.7110885310806,1260.4622934743652,2290.3842424271324,47.41934426171434,65.75,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,sim_saved_caked,entry_visual_caked,caked,694.4613625017209,1274.0024370921362,1274.0024370921362,2304.538637498279,47.68060224342444,66.99366398924099,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1724.9975629078638,694.4613625017209,1274.0024370921362,2304.538637498279,47.68234562680101,66.94863842487035,,,
"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1724.9975629078638,694.4613625017209,1274.0024370921362,2304.538637498279,47.68234562680101,66.94863842487035,0.26300136508666583,1.198638424870353,1.2271527173148136
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,2589.4557036397614,896.369221375524,896.369221375524,409.5442963602386,60.66977098354286,-58.393904940253236,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,2589.4557036397614,896.369221375524,896.369221375524,409.5442963602386,60.68465366435329,-58.25,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,manual_saved_caked,entry_caked_deg,caked,2635.198815396204,814.4592413636611,814.4592413636611,363.8011846037962,62.116121074200144,-56.542760355258025,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,2635.198815396204,814.4592413636611,814.4592413636611,363.8011846037962,62.115362494512816,-56.75,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,fit_observed,background/manual,caked,2637.9903278899114,818.7601788224005,814.4592413636611,363.8011846037962,62.115362494512816,-56.75,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,sim_saved_caked,entry_visual_caked,caked,2582.2987843879678,817.7412568243044,817.7412568243042,416.70121561203223,61.33298049761197,-55.43893026911381,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2181.2587431756956,2582.2987843879678,817.7412568243042,416.70121561203223,61.33044694317491,-55.25,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2181.2587431756956,2582.2987843879678,817.7412568243042,416.70121561203223,61.33044694317491,-55.25,-0.7849155513379031,1.5,1.6929537568203346
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,326.6314598704107,847.0872299359913,847.0872299359913,2672.3685401295893,60.986122773128606,56.374242018904994,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,326.6314598704107,847.0872299359913,847.0872299359913,2672.3685401295893,60.973667147112224,56.25,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,manual_saved_caked,entry_caked_deg,caked,373.8645271266402,827.9561686827686,827.9561686827686,2625.13547287336,60.473757865132754,54.552955632408384,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,373.8645271266402,827.9561686827686,827.9561686827686,2625.13547287336,60.47417543262447,54.749373234122345,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,fit_observed,background/manual,caked,371.2104097220877,831.6385331832226,827.9561686827686,2625.13547287336,60.47417543262447,54.749373234122345,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,sim_saved_caked,entry_visual_caked,caked,342.18021602122553,833.3100472102005,833.3100472102004,2656.8197839787745,60.893056707783735,55.520054641029645,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2165.6899527897995,342.18021602122553,833.3100472102004,2656.8197839787745,60.90190001103243,55.675543214231936,,,
"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2165.6899527897995,342.18021602122553,833.3100472102004,2656.8197839787745,60.90190001103243,55.675543214231965,0.4277245784079611,0.9261699801096199,1.0201662349982585
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,486.5152982295277,1289.5156008896067,1289.5156008896067,2512.4847017704724,53.499130419599055,72.4033128232567,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,486.5152982295277,1289.5156008896067,1289.5156008896067,2512.4847017704724,53.49228662774693,72.25,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,manual_saved_caked,entry_caked_deg,caked,506.2950513099919,1289.5662621095626,1289.5662621095626,2492.704948690008,52.983467479637184,72.06146500485426,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,506.2950513099919,1289.5662621095626,1289.5662621095626,2492.704948690008,52.98161825531962,72.24007736900089,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,fit_observed,background/manual,caked,505.4003216307186,1292.536053415724,1289.5662621095626,2492.704948690008,52.98161825531962,72.24007736900089,,,
