H,K,r,A_HT,A_fit,A_num,ratio_fit,ratio_num,rmse
3,-4,0.9651341479030899,85.42062529365316,85.43544874365057,86.55638910725037,1.0001735347867853,1.0132961308781427,0.37315848328640844
3,-2,0.8690661789857874,19.391394666288875,19.375109253766762,18.089018378331584,0.999160173221041,0.932837410079564,0.021478538171401634
3,-1,0.8058340180430458,11.63643878095638,9.901870134313192,10.389213580547713,0.8509364695423915,0.8928172764978737,0.04776804934867365
3,1,0.6774639438966767,5.329921040391167,1.086221709060413,4.295990055515283,0.20379696074835177,0.8060138270266001,0.03264079983986187
3,2,0.6288207202150918,4.1093822961581985,0.5226611199656825,3.1661561846360824,0.12718727105392721,0.7704700990209832,0.017939289973663324
3,4,0.6048671907885687,3.6250811575656647,0.3690920447187942,2.7261406082035364,0.10181621560347327,0.7520219519814033,0.013389994934572222
4,-4,0.8690661789857874,19.391394666288875,19.39505301751798,18.108774413982054,1.0001886584896065,0.9338562143476662,0.02265296146521014
4,-3,0.8058340180430458,11.63643878095638,9.901448756391373,10.388086264577058,0.8509002576110823,0.8927203984072589,0.047769401524065065
4,-1,0.6774639438966767,5.329921040391167,1.0864080664765865,4.2986524396795405,0.20383192513427068,0.8065133436505953,0.03250553363901313
4,0,0.6288207202150918,4.1093822961581985,0.5226004523527509,3.165901073073316,0.1271725078587413,0.7704080187509132,0.017748083301825132
4,2,0.6048671907885687,3.6250811575656647,0.36921670163993053,2.7261536979375793,0.1018506029497748,0.7520255628616772,0.01322370755582315
4,3,0.6349080329153227,4.243321197325586,0.5709330657417426,3.28906611420282,0.1345486328259999,0.7751159908129983,0.019176924661891893
