stage,q_group_key,hkl,branch,table,row,point_type,two_theta,phi,residual_2theta,residual_phi_wrapped,residual_norm,refinement_status,source
predicted_x0_nominal,"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,predicted_nominal,66.82485580254018,33.75,-4.500508285512268,0.030452038804583026,4.500611308992583,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,predicted_refined,66.82485580254018,33.75,-4.500508285512268,0.030452038804583026,4.500611308992583,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,observed,71.32536408805245,33.71954796119542,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,predicted_nominal,66.82485580254018,33.75,-4.500508285512268,0.030452038804583026,4.500611308992583,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 3, 15)","(-2, 1, 15)",0,302,49,predicted_refined,66.32028123292997,33.75,-5.005082855122481,0.030452038804583026,5.005175492758307,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,observed,53.77120719377949,-67.74449172179189,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,predicted_nominal,47.80491520079962,-66.75,-5.966291992979869,0.9944917217918885,6.048607602598163,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,predicted_refined,47.80491520079962,-66.75,-5.966291992979869,0.9944917217918885,6.048607602598163,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,observed,53.77120719377949,-67.74449172179189,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,predicted_nominal,47.80491520079962,-66.75,-5.966291992979869,0.9944917217918885,6.048607602598163,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",1,280,118,predicted_refined,47.80491520079962,-66.75,-5.966291992979869,0.9944917217918885,6.048607602598163,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,observed,52.41934426171434,65.75,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,predicted_nominal,47.68234562680101,66.94863842487035,-4.736998634913334,1.198638424870353,4.886296157699252,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,predicted_refined,47.68234562680101,66.94863842487035,-4.736998634913334,1.198638424870353,4.886296157699252,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,observed,52.41934426171434,65.75,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,predicted_nominal,47.68234562680101,66.94863842487035,-4.736998634913334,1.198638424870353,4.886296157699252,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
