phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
7.25,1.806278428104384e+17,1.9155611809090972e+16,1.9155192088301984e+16,1.405174324315163e+16,1.4051478802032672e+16,8930978401286413.0,8930767239350437.0,5578283429557202.0,5578169459680803.0,3981186685923167.0,3981117276037638.0,2711231018679354.5,2711171587513715.0,1787596169185604.5,1787556294225181.8,1089627864048522.1,1089593831693625.8,464131990097569.06,464105080951261.4,19075892937.12014
7.75,1.7139195512825788e+16,1.7139189096122196e+16,1.7139126349659322e+16,1.3839896422071762e+16,1.3839657851606702e+16,8757951382862429.0,8757731766318955.0,5213392469868045.0,5213271815848644.0,3551684534263499.5,3551615415308169.0,2340153366505714.5,2340096936092660.5,1445273219476620.8,1445234048003231.5,767769800845384.8,767738342321540.1,259002715431682.4,258984822174711.47,10398093714.82369
8.25,1.6458032747757096e+16,1.6458032747757096e+16,1.6457968293010616e+16,1.3250286630925864e+16,1.325004956970148e+16,8184344151008664.0,8184122082422914.0,4609437357498676.0,4609316613610683.0,2978646874488663.0,2978579683175863.5,1788055679103904.5,1788000469276181.0,952475112386719.6,952442036114846.9,471046278283002.44,471028472524918.56,195507670573391.97,195496138574585.5,9134635987.313375
8.75,1.5554891961242794e+16,1.5554891961242794e+16,1.5554827588445842e+16,1.2458312294451082e+16,1.2458080099018712e+16,7485296401417879.0,7485076377617809.0,3937560177213788.0,3937440320345653.0,2330801933299290.5,2330737212580720.5,1259328617381291.8,1259285769720823.8,718470485725624.0,718451674364773.9,429223888834837.25,429211359859272.0,191362170974886.6,191351487921932.25,9357753275.519148
9.25,1.464529400772055e+16,1.464529400772055e+16,1.464522954689665e+16,1.1624890246887278e+16,1.1624661625427756e+16,6737042578628698.0,6736826528332156.0,3297509355945184.5,3297395480131784.0,1820901085278298.8,1820846244206896.5,1028534782649373.9,1028506195091330.4,678067383382362.9,678054846928739.5,452864677625132.06,452852980807858.25,202923160425016.94,202911973748872.47,10050873301.632023
9.75,1.354093315475731e+16,1.354093315475731e+16,1.3540871542979504e+16,1.0596184797407618e+16,1.0595961704947102e+16,5853343784619033.0,5853136377619955.0,2636897613219244.0,2636795359668995.5,1400664728236350.2,1400626424152995.2,998784824979911.6,998770329714178.8,725124277275064.0,725110996701568.0,475583315012731.7,475570756956221.8,205457067035376.56,205445129601555.62,9663412884.239273
10.25,1.2295817847627824e+16,1.2295817847627824e+16,1.229575863789983e+16,9445194021042672.0,9444979878935640.0,5071311361751442.0,5071129657789171.0,2415388106178998.0,2415307111468119.5,1449264765125467.5,1449233711104897.8,1050310505674615.8,1050294376482463.8,737707105709671.9,737692424650030.9,469334484801987.0,469321441470276.0,197675808602481.47,197664153640777.75,9190695588.10542
10.75,1.047697793572892e+16,1.047697793572892e+16,1.0476925571122096e+16,8052099229846981.0,8051914834856509.0,4391723032198585.0,4391574345008276.0,2297505732915607.5,2297441958430420.0,1493458921870436.0,1493430462762322.2,1073075274610813.9,1073057539759814.8,732346229979568.5,732330460042547.1,447956615418217.75,447943303431693.9,182221542258765.8,182210613890161.22,8160951676.752313
11.25,7700297793763501.0,7700297793763501.0,7700260609277347.0,6177683460325992.0,6177558994038721.0,3741514780065693.0,3741411253877993.0,2246427508384805.2,2246376411339264.2,1463446499229054.8,1463414057212905.8,980934898067831.1,980915039681876.9,624441098468049.0,624425569433497.4,361111542752932.25,361099533080419.44,122299047855719.06,122289948845970.56,4602585631.425439
11.75,5863569325414196.0,5863569325414196.0,5863545630903162.0,4946508539976304.0,4946425977596608.0,3345185196076589.0,3345112631221449.5,2216775601496878.8,2216730193519534.5,1408348953907377.8,1408313602864844.5,891374708211306.0,891354260036496.5,537669066629298.0,537654009262143.4,291654814379356.0,291644535473396.44,103005128669384.06,102998260587272.42,4270710458.465152
