phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-11.75,2.513300702602762e+18,4.285840696456715e+16,4.285012829358566e+16,1.7304763699758536e+16,1.7304374114540136e+16,1.1134336792505154e+16,1.1134070019306588e+16,6513796421790949.0,6513615909092863.0,3553831925339701.5,3553716106873052.0,1839113220140060.5,1839050472677974.0,950946932228416.1,950916147290083.4,505475182541641.06,505458714526228.44,228429934856263.56,228417653701410.9,10542254159.593729
-11.25,3.3517534541975895e+18,4.928813419824638e+16,4.92771472247923e+16,1.7736663019019234e+16,1.7736278329385838e+16,1.1916814343682116e+16,1.1916561842790424e+16,7387147535627821.0,7386963767250021.0,4295174582111281.0,4295053500252512.0,2452693178095825.5,2452618071405905.5,1196111230606353.0,1196062368812792.5,518147193308981.4,518125815856630.4,221743545553728.28,221731332439902.75,10199304164.647034
-10.75,7.502023505689723e+18,1.8371278905581107e+17,1.8367585362369923e+17,2.5052404714872116e+16,2.5050374782589668e+16,1.1927042168368874e+16,1.1926749767010964e+16,7877770331374345.0,7877603619279212.0,4960573667731276.0,4960452804974192.0,3029008475961845.0,3028928348511371.0,1695833705562750.8,1695779170672040.2,803462685577892.0,803426905898177.8,247409963353459.8,247390355396311.16,9401508965.01482
-10.25,1.0020978617046614e+19,2.6628067552453565e+17,2.6622790695387872e+17,2.9678410230119668e+16,2.9675367640999268e+16,1.2047365671618588e+16,1.204704804643953e+16,8274847893953852.0,8274690865876750.0,5463020822268180.0,5462900999749564.0,3502072936311760.5,3501990663515722.5,2129917563745791.5,2129860490408295.0,1152860675005946.8,1152819180528719.2,444669972719907.7,444640974175802.56,16874210454.152185
-9.75,1.0914933067126475e+19,4.369470626659077e+17,4.368824897202417e+17,7.380882403802277e+16,7.380194308788926e+16,1.7608239843755904e+16,1.7607096437246448e+16,8535743036830883.0,8535524969537285.0,5666614720980945.0,5666505246566003.0,3872090899698797.5,3872012797801777.0,2474525360345082.0,2474463975853375.5,1415033516186975.8,1414989041478628.8,630232961619273.8,630197201266896.2,26069094866.80482
-9.25,1.1531805142059977e+19,5.6459459748741677e+17,5.645224671371054e+17,1.1520769628669682e+17,1.1519801513877618e+17,2.7168489044620932e+16,2.7166510398203772e+16,9967530158299918.0,9967136777681010.0,5733984078565079.0,5733855622418591.0,3855206417693423.5,3855130139565970.5,2541176953329424.5,2541119205165612.5,1506267361985936.2,1506221629460691.8,670621401620178.0,670583353597602.8,30567575977.289326
-8.75,1.1816445379407954e+19,6.061733966168269e+17,6.061004543252276e+17,1.532773514964012e+17,1.532673849532526e+17,5.006594499522868e+16,5.006303723985011e+16,1.5518318822865754e+16,1.5517389566874814e+16,6079388054460099.0,6079175001780755.0,3786809461498882.0,3786731622268543.0,2519140490674389.5,2519084726297707.5,1521405485706634.0,1521361264286968.5,699576564921936.5,699538055668458.2,32157782462.900482
-8.25,1.2178553829095848e+19,6.490616991920671e+17,6.489856800066583e+17,1.776703535588785e+17,1.7766003117445094e+17,6.8378857770706824e+16,6.8375633519393976e+16,2.7187622676098596e+16,2.7186326324150376e+16,1.0474010973468868e+16,1.0473485475980604e+16,4309716774583513.0,4309544018852696.0,2457546868077252.5,2457484321566164.0,1472501067289279.2,1472458867148435.8,689416638459108.1,689379469649464.6,32443080883.66956
-7.75,1.2350688596165462e+19,6.731501209277811e+17,6.730724425822167e+17,1.9106107068382525e+17,1.9105056295022608e+17,8.059952582749163e+16,8.059627461180046e+16,3.84452620024041e+16,3.844381946559487e+16,1.7538316848291546e+16,1.7537563727197082e+16,7380529937916032.0,7380197260320041.0,3133983131629369.5,3133850736373616.5,1476758291364388.2,1476706375861579.8,655497075080173.9,655460762375949.4,30864882786.274437
-7.25,1.1548329932394625e+19,6.854349168602248e+17,6.85361009410407e+17,2.071976270297996e+17,2.0718669331723498e+17,9.008177790893952e+16,9.007835006887562e+16,4.653633792843019e+16,4.65348751860788e+16,2.541478712937813e+16,2.5414003880072824e+16,1.3337204817469828e+16,1.3336732107205286e+16,5922661402835565.0,5922399322807801.0,2300952391264311.5,2300834391169462.5,744801183674904.5,744748128581073.1,31539635436.680157
