phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-60.25,717422861724.1456,717422861724.1456,717422861724.1456,717422861724.1456,717422861724.1456,717422861724.1487,717422861724.1487,697000297508.3647,696997757403.0435,615169411752.02,615164181124.2964,476465486623.7509,476453300044.1347,156847483860.8459,156833862456.5773,12189577615.496643,12187368567.154636,474377538.6273279,474245587.76795673,5661.248025219093
-59.75,693170798504.0687,693170798504.0687,693170798504.0687,693170798504.0687,693170798504.0687,693170798504.0717,693170798504.0718,674620878719.3934,674618571338.6031,600022204905.1359,600017384472.2028,469965994875.6561,469954490262.8806,169472356452.30487,169459578087.91876,29365694326.567265,29363015636.563965,4472496907.263888,4471903498.497255,54527.08966395214
-59.25,644576717424.9127,644576717424.9127,644576717424.9127,644576717424.9127,644576717424.9127,644576717424.9127,644576717424.9127,638053001985.7086,638052189689.4204,607389305560.973,607386449595.7538,494694071458.63934,494682389925.37714,186096057718.71866,186083057779.67657,42417996944.31037,42414901492.040276,7484846043.057488,7483904546.896286,91355.893047046
-58.75,635284516393.3495,635284516393.3495,635284516393.3495,635284516393.3495,635284516393.3495,635284516393.3495,635284516393.3495,630344381300.1298,630343765871.5688,605043567364.8276,605040888018.1691,493707654707.0673,493696356182.07965,200042315155.62292,200029919412.0572,56755628837.98976,56752017634.95748,10564981740.346378,10563674983.038132,129433.79195248509
-58.25,625684252679.1276,625684252679.1276,625684252679.1276,625684252679.1276,625684252679.1276,625684252679.1276,625684252679.1276,620750157710.3086,620749543034.2098,595687750423.5593,595685138013.6096,489296569265.0128,489285965820.018,214529157576.2151,214517297758.19547,66804554499.68197,66800276367.723976,11254298791.898172,11252809441.735376,135766.20492231354
-57.75,617249743955.6956,617249743955.6956,617249743955.6956,617249743955.6956,617249743955.6956,617249743955.6956,617249743955.6956,614538092983.5057,614537754593.5331,597715663388.9027,597713445067.1959,496212980353.8727,496202506648.5202,223354402388.74725,223342517920.34183,71410483022.07913,71405888645.71686,11610205702.367666,11608631558.691471,139602.39817800335
-57.25,608040541546.4243,608040541546.4243,608040541546.4243,608040541546.4243,608040541546.4243,608040541546.4243,608040541546.4243,608040541606.7775,608040540326.5239,601203844198.5673,601202083930.7615,503744611579.2582,503734005929.7705,225259754819.37204,225247641015.9791,71406583136.67465,71401974211.0872,11619568075.846354,11617994394.54016,140476.11235482746
-56.75,556393777202.4331,556393777202.4331,556393777202.4331,556393777202.4331,556393777202.4331,556393777202.4331,556393777202.4331,556393777202.4331,556393775928.0739,550470030323.546,550468558062.0776,475648496290.9648,475641191873.1882,288144949295.3262,288135508635.6208,116778347362.5185,116770753169.04019,14714481211.358456,14712081462.362787,166846.0242070286
-56.25,556482040435.1719,556482040435.1719,556482040435.1719,556482040435.1719,556482040435.1719,556482040435.1719,556482040435.1719,556482040435.1719,556482039598.4382,551271150549.3506,551269919377.6353,497808214091.6096,497804204342.7576,400092293182.1154,400084831530.6275,180620407287.32837,180608057882.3277,17037293668.194046,17033837264.232624,175798.47779106154
-55.75,570604699623.4738,570604699623.4738,570604699623.4738,570604699623.4738,570604699623.4738,570604699623.4738,570604699623.4738,570604699623.4738,570604698858.9109,565955296707.2451,565954198399.6638,518260313970.64685,518256675849.6622,426466129867.34845,426458664964.79877,201736343200.9633,201723745891.3627,33519519936.90604,33515521096.504112,912836.8917560274
