L_rlu,Qz_A_inv,F2,R_HT_p_0p01,I_HT_p_0p01,R_HT_p_0p001,I_HT_p_0p001,R_HT_p_0p0001,I_HT_p_0p0001,R_HT_p_0p0,I_HT_p_0p0
0.07200000000000001,0.01579792366660603,594349.0908217035,0.3596667075903682,1.4080988575157944e+16,0.3596667075903682,1.4080988575157944e+16,0.3596667075903682,1.4080988575157944e+16,0.3596667075903682,1.4080988575157944e+16
0.073,0.016017339273086666,594070.79396092,0.3072417291693597,1.2022913058179382e+16,0.3072417291693597,1.2022913058179382e+16,0.3072417291693597,1.2022913058179382e+16,0.3072417291693597,1.2022913058179382e+16
0.074,0.016236754879567307,593788.6536179696,0.2466226680670337,9646198408734070.0,0.2466226680670337,9646198408734070.0,0.2466226680670337,9646198408734070.0,0.2466226680670337,9646198408734070.0
0.075,0.016456170486047948,593502.6742356446,0.18350716089349817,7174092968121096.0,0.18350716089349817,7174092968121096.0,0.18350716089349817,7174092968121096.0,0.18350716089349817,7174092968121096.0
0.076,0.016675586092528585,593212.8603170541,0.12355273114557919,4827854928551868.0,0.12355273114557919,4827854928551868.0,0.12355273114557919,4827854928551868.0,0.12355273114557919,4827854928551868.0
0.077,0.016895001699009225,592919.2164255342,0.07184841437068258,2806105649465024.5,0.07184841437068258,2806105649465024.5,0.07184841437068258,2806105649465024.5,0.07184841437068258,2806105649465024.5
0.078,0.017114417305489866,592621.7471845484,0.03246585621258134,1267347607989258.5,0.03246585621258134,1267347607989258.5,0.03246585621258134,1267347607989258.5,0.03246585621258134,1267347607989258.5
0.079,0.017333832911970503,592320.4572775923,0.008127403933429776,317102657148023.4,0.008127403933429776,317102657148023.4,0.008127403933429776,317102657148023.4,0.008127403933429776,317102657148023.4
0.08,0.017553248518451144,592015.35144809,1.6168827879994297e-05,630525725389.6913,1.6168827879994297e-05,630525725389.6913,1.6168827879994297e-05,630525725389.6913,1.6168827879994297e-05,630525725389.6913
0.081,0.017772664124931784,591706.4344993007,0.0077388034210213175,301627830949121.1,0.0077388034210213175,301627830949121.1,0.0077388034210213175,301627830949121.1,0.0077388034210213175,301627830949121.1
0.082,0.01799207973141242,591393.7112942126,0.029437182403085276,1146738107819521.2,0.029437182403085276,1146738107819521.2,0.029437182403085276,1146738107819521.2,0.029437182403085276,1146738107819521.2
0.083,0.018211495337893062,591077.1867554405,0.062031637576243956,2415175797330699.0,0.062031637576243956,2415175797330699.0,0.062031637576243956,2415175797330699.0,0.062031637576243956,2415175797330699.0
0.084,0.018430910944373703,590756.8658651235,0.10156706203902502,3952327934463657.0,0.10156706203902502,3952327934463657.0,0.10156706203902502,3952327934463657.0,0.10156706203902502,3952327934463657.0
0.085,0.01865032655085434,590432.7536648188,0.143625003767595,5585882534208717.0,0.143625003767595,5585882534208717.0,0.143625003767595,5585882534208717.0,0.143625003767595,5585882534208717.0
0.08600000000000001,0.01886974215733498,590104.8552553955,0.1837604249411737,7142865598853351.0,0.1837604249411737,7142865598853351.0,0.1837604249411737,7142865598853351.0,0.1837604249411737,7142865598853351.0
0.08700000000000001,0.01908915776381562,589773.1757969264,0.21792135514981936,8465958026190270.0,0.21792135514981936,8465958026190270.0,0.21792135514981936,8465958026190270.0,0.21792135514981936,8465958026190270.0
0.088,0.019308573370296258,589437.720508579,0.2428130843404503,9427603616675446.0,0.2428130843404503,9427603616675446.0,0.2428130843404503,9427603616675446.0,0.2428130843404503,9427603616675446.0
0.089,0.019527988976776895,589098.4946685063,0.25617534824526783,9940690497239582.0,0.25617534824526783,9940690497239582.0,0.25617534824526783,9940690497239582.0,0.25617534824526783,9940690497239582.0
0.09,0.019747404583257536,588755.5036137339,0.25695038852425595,9964960065920074.0,0.25695038852425595,9964960065920074.0,0.25695038852425595,9964960065920074.0,0.25695038852425595,9964960065920074.0
0.091,0.019966820189738176,588408.7527400485,0.24533084683123688,9508731544142286.0,0.24533084683123688,9508731544142286.0,0.24533084683123688,9508731544142286.0,0.24533084683123688,9508731544142286.0
0.092,0.020186235796218813,588058.2475018821,0.22268808988612876,8625983825585208.0,0.22268808988612876,8625983825585208.0,0.22268808988612876,8625983825585208.0,0.22268808988612876,8625983825585208.0
0.093,0.020405651402699454,587703.9934121995,0.19139266678528827,7409266901782687.0,0.19139266678528827,7409266901782687.0,0.19139266678528827,7409266901782687.0,0.19139266678528827,7409266901782687.0
0.094,0.020625067009180095,587345.9960423798,0.15454816783306682,5979283940436729.0,0.15454816783306682,5979283940436729.0,0.15454816783306682,5979283940436729.0,0.15454816783306682,5979283940436729.0
0.095,0.02084448261566073,586984.2610220984,0.11566696410322436,4472260552093015.0,0.11566696410322436,4472260552093015.0,0.11566696410322436,4472260552093015.0,0.11566696410322436,4472260552093015.0
0.096,0.021063898222141372,586618.7940392111,0.07832058543690891,3026378213723136.5,0.07832058543690891,3026378213723136.5,0.07832058543690891,3026378213723136.5,0.07832058543690891,3026378213723136.5
0.097,0.021283313828622013,586249.60083963,0.04579856023128002,1768583990406465.5,0.04579856023128002,1768583990406465.5,0.04579856023128002,1768583990406465.5,0.04579856023128002,1768583990406465.5
0.098,0.02150272943510265,585876.6872272048,0.020807418527629126,803000330587297.8,0.020807418527629126,803000330587297.8,0.020807418527629126,803000330587297.8,0.020807418527629126,803000330587297.8
0.099,0.02172214504158329,585500.059063599,0.005236569006668788,201959868026741.97,0.005236569006668788,201959868026741.97,0.005236569006668788,201959868026741.97,0.005236569006668788,201959868026741.97
