Qz_A_inv,L_rlu,F_real,F_imag,F_abs,F2
0.18800000000000003,0.8568214586713488,-99.50284492884393,75.79849784711145,125.08488487747879,15646.228424812121
0.189,0.8613790196217284,-97.01513649846746,71.82581130306062,120.70991624203513,14570.883879159137
0.19000000000000003,0.8659365805721079,-94.45577405772895,67.9487945027414,116.35691611253937,13538.931927220523
0.191,0.8704941415224874,-91.82744129821769,64.16865141277623,112.02631297829991,12549.894799512007
0.192,0.8750517024728669,-89.13284103549935,60.48651602884009,107.71853123936812,11603.281972366725
0.19300000000000003,0.8796092634232464,-86.3746934228881,56.90345210599516,103.4339911512516,10698.590525477195
0.194,0.8841668243736259,-83.55573416259438,53.42045293441652,99.17310877031308,9835.305503168349
0.195,0.8887243853240054,-80.67871271540302,50.038441160492404,94.93629589986432,9012.900279186595
0.196,0.893281946274385,-77.7463905100348,46.75826865324779,90.72396003696116,8230.836924788126
0.197,0.8978395072247645,-74.76153915334132,43.58071641601442,86.53650431990916,7488.566579909656
0.19799999999999998,0.902397068175144,-71.72693864247908,40.50649454323929,82.37432747648647,6785.529827203434
0.199,0.9069546291255235,-68.64537558020412,37.53624222229527,78.237823772892,6121.157068718105
0.2,0.911512190075903,-65.5196413944227,34.67052778012781,74.12738296342562,5494.868905006362
0.201,0.9160697510262825,-62.3525305631298,31.90984877454347,70.04339024090902,4906.076516440269
0.202,0.920627311976662,-59.14683884585614,29.254632129917603,65.9862261878529,4354.182046514485
0.20299999999999999,0.9251848729270415,-55.905361522741835,26.705234317068673,61.956266728378694,3838.578986918005
0.20400000000000001,0.9297424338774211,-52.63089164234194,24.261941577021037,57.95388308090081,3358.652564154721
0.20500000000000002,0.9342999948278006,-49.326218279264594,21.924970188347054,53.97944171157722,2913.780127493563
0.206,0.9388575557781801,-45.994124802728535,19.694466777754926,50.033304288534254,2503.33153802906
0.20700000000000002,0.9434151167285596,-42.637387157120365,17.57050867355816,46.11582763687274,2126.6695586337555
0.208,0.9479726776789391,-39.25877215561728,15.55310430163826,42.22736369446131,1783.1502445843091
0.20900000000000002,0.9525302386293186,-35.86103578793205,13.642193623483701,38.36825946852375,1472.1233346439626
0.21000000000000002,0.9570877995796981,-32.44692154322324,11.837648615861614,34.53885699302591,1192.9326423846949
0.211,0.9616453605300777,-29.019158749201463,10.139273791656269,30.73949328686996,944.9164475335232
0.21200000000000002,0.9662029214804572,-25.58046092844581,8.546806761375452,26.97050031289809,727.4078871280359
0.213,0.9707604824308367,-22.13352417293644,7.059918834809403,23.232204937716485,539.7353462680583
0.214,0.9753180433812162,-18.68102553778693,5.678215662294598,19.52492889234107,381.22284825097506
0.215,0.9798756043315957,-15.225621455149478,4.401237915014948,15.848988733672353,251.1904438800732
0.216,0.9844331652819752,-11.769946169248502,3.228462003746756,12.204695806805018,148.954599736644
0.217,0.9889907262323547,-8.316610193479342,2.159300835430601,8.592356208175717,73.8285852081758
0.218,0.9935482871827342,-4.868198790495549,1.1931046069317195,5.012270749556932,25.12285806686401
0.219,0.9981058481331138,-1.4272704761854953,0.32916163532401527,1.4647349228990039,2.145448394359951
0.22,1.0026634090834934,2.003644451576175,-0.4333007759833084,2.0499611339729658,4.202340650799727
0.221,1.0072209700338728,5.422045358536756,-1.0951154359855158,5.531532670803249,30.597853688163724
0.22200000000000003,1.0117785309842524,8.825462693188772,-1.6571743304143283,8.979700357486935,80.635018510251
0.223,1.0163360919346318,12.211459378580372,-2.1204276524091035,12.394190315781815,153.61595358381973
0.22400000000000003,1.0208936528850114,15.577632176011834,-2.485882800296213,15.774734150150605,248.84223750792773
0.22499999999999998,1.0254512138353908,18.921613019829227,-2.754603343262523,19.121068977724125,365.6152788508839
0.22600000000000003,1.0300087747857705,22.241070322558585,-2.927707955729451,22.432937457387023,503.2366829670378
0.22699999999999998,1.0345663357361499,25.533710249635547,-3.006369321251455,25.71008781797731,661.0086156081053
0.228,1.0391238966865295,28.797277963016626,-2.991813006780469,28.95227388559979,838.2341631467837
0.229,1.043681457636909,32.02955883297449,-2.8853163081563733,32.15925511004705,1034.2176892330872
0.23,1.0482390185872885,35.228379617408436,-2.6882070676964123,35.33079659032685,1248.2651877070512
0.231,1.052796579537668,38.39160960802016,-2.40186246477761,38.466669099290804,1479.684631594334
0.23200000000000004,1.0573541404880475,41.517161742733805,-2.027707780315197,41.56664910736335,1727.78631801467
0.23299999999999998,1.061911701438427,44.602993683757454,-1.5672151360610749,44.63051880536463,1991.883208836006
0.23400000000000004,1.0664692623888066,47.64710886071761,-1.021902209654026,47.65806612642996,2271.2912669111706
0.235,1.071026823339186,50.64755747831026,-0.3933309263716125,50.6490847670161,2565.329787736382
0.23600000000000002,1.0755843842895656,53.60243748795234,0.31689387145777914,53.603374206999376,2873.321726375606
0.237,1.080141945239945,56.5098955229291,1.1071257764080116,56.520739728856604,3194.5940194971495
0.23800000000000002,1.0846995061903246,59.368127796570434,1.975678188293414,59.40099243593172,3528.4779023736173
0.23900000000000002,1.089257067140704,62.175380963006674,2.9208257058943325,62.243949269782256,3874.309220699227
0.24000000000000002,1.0938146280910837,64.92995294008821,3.940805537070242,65.04943302660733,4231.4287370830725
0.241,1.098372189041463,67.63019369407169,5.033818926246081,67.81727237275094,4599.182432079887
0.242,1.1029297499918427,70.27450598571303,6.198032598248643,70.54730185928425,4976.921799624971
0.243,1.107487310942222,72.86134607742262,7.431580217469177,73.23936193566017,5364.004136742627
0.24400000000000002,1.1120448718926017,75.38922440117652,8.732563861311629,75.89329896244355,5759.792827402835
0.245,1.116602432842981,77.85670618689487,10.099055506887819,78.50896522311115,6163.6576204036755
0.24600000000000002,1.1211599937933607,80.26241205103655,11.52909852991102,81.08621893492614,6574.974901162774
0.247,1.1257175547437401,82.60501854517429,13.020709214735593,83.62492425887923,6993.127957303288
0.24800000000000003,1.1302751156941198,84.88325866435578,14.571878274486961,86.1249513087026,7417.507237926395
0.24899999999999997,1.1348326766444992,87.09592231507213,16.180572380222383,88.58617615895098,7847.510606464694
0.25,1.1393902375948788,89.24185674269128,17.84473569806035,91.0084808521528,8282.543587016662
0.251,1.1439477985452582,91.31996691823551,19.56229143321353,93.39175340502825,8722.019604065606
0.252,1.1485053594956378,93.32921588441562,21.331143379862283,95.73588781377703,9165.3602154921
0.253,1.1530629204460172,95.26862506085735,23.149177475800762,98.04078405843326,9611.995338792341
0.254,1.1576204813963968,97.13727450848705,25.014263360792672,100.30634810629019,10061.363470420265
0.255,1.1621780423467762,98.93430315306793,26.924255937569157,102.53249191439208,10512.911898174878
0.256,1.1667356032971559,100.65890896790975,28.876996934411057,104.71913343109715,10966.09690655993
0.25700000000000006,1.1712931642475355,102.3103491157984,30.870316468250245,106.86619659670906,11420.38397504647
0.258,1.175850725197915,103.88794005022217,32.90203460723675,108.9736113431796,11875.247969174361
0.25900000000000006,1.1804082861482945,105.39105757599869,34.96996293171792,111.04131359288397,12330.173324433197
0.26,1.184965847098674,106.81913686942937,37.07190609258011,113.06924525646646,12784.654222866962
0.261,1.1895234080490535,108.1716724581442,39.20566336591068,115.05735422976291,13238.19476235314
0.262,1.194080968999433,109.44821816081526,41.36903020294319,117.0055943897959,13690.309118509438
0.263,1.1986385299498126,110.64838698695478,43.55979977425584,118.91392558984907,14140.521699188163
0.264,1.203196090900192,111.77185099703077,45.77576450719756,120.78231365361758,14588.367291520855
0.265,1.2077536518505716,112.81834112316741,48.01471761553176,122.61073036844134,15033.391201482624
0.266,1.212311212800951,113.78764695071688,50.2744546202847,124.39915347761837,15475.14938594805
0.26700000000000007,1.2168687737513306,114.67961646101895,52.552774860808434,126.14756667180396,15913.208577217225
0.268,1.22142633470171,115.49415573568868,54.847482995066514,127.85595957949562,16347.146399993617
