L_rlu,Qz_A_inv,bandwidth_sigma_fraction,I_HT_raw_p_0p01,I_HT_bandwidth_avg_p_0p01,I_HT_raw_p_0p001,I_HT_bandwidth_avg_p_0p001,I_HT_raw_p_0p0001,I_HT_bandwidth_avg_p_0p0001,I_HT_raw_p_0p0,I_HT_bandwidth_avg_p_0p0
0.038,0.008337793046264292,0.006999999999999999,5337222828130329.0,5608714679293327.0,5337222828130329.0,5608714679293327.0,5337222828130329.0,5608714679293327.0,5337222828130329.0,5608714679293327.0
0.039,0.008557208652744933,0.006999999999999999,1300555195663036.5,1585794547425787.8,1300555195663036.5,1585794547425787.8,1300555195663036.5,1585794547425787.8,1300555195663036.5,1585794547425787.8
0.04,0.008776624259225572,0.006999999999999999,2520902529329.2246,275766214229069.97,2520902529329.2246,275766214229069.97,2520902529329.2246,275766214229069.97,2520902529329.2246,275766214229069.97
0.041,0.00899603986570621,0.006999999999999999,1176676601616525.0,1414373333422169.8,1176676601616525.0,1414373333422169.8,1176676601616525.0,1414373333422169.8,1176676601616525.0,1414373333422169.8
0.042,0.009215455472186851,0.006999999999999999,4369010617796042.0,4551775948467272.0,4369010617796042.0,4551775948467272.0,4369010617796042.0,4551775948467272.0,4369010617796042.0,4551775948467272.0
0.043000000000000003,0.00943487107866749,0.006999999999999999,8994155864376149.0,9108354510748714.0,8994155864376149.0,9108354510748714.0,8994155864376149.0,9108354510748714.0,8994155864376149.0,9108354510748714.0
0.044,0.009654286685148129,0.006999999999999999,1.4397938305809662e+16,1.4436655788209408e+16,1.4397938305809662e+16,1.4436655788209408e+16,1.4397938305809662e+16,1.4436655788209408e+16,1.4397938305809662e+16,1.4436655788209408e+16
0.045,0.009873702291628768,0.006999999999999999,1.9920493708859604e+16,1.9883894751430464e+16,1.9920493708859604e+16,1.9883894751430464e+16,1.9920493708859604e+16,1.9883894751430464e+16,1.9920493708859604e+16,1.9883894751430464e+16
0.046,0.010093117898109407,0.006999999999999999,2.4954585792498456e+16,2.484963192910563e+16,2.4954585792498456e+16,2.484963192910563e+16,2.4954585792498456e+16,2.484963192910563e+16,2.4954585792498456e+16,2.484963192910563e+16
0.047,0.010312533504590047,0.006999999999999999,2.8994566285494804e+16,2.8834138245276188e+16,2.8994566285494804e+16,2.8834138245276188e+16,2.8994566285494804e+16,2.8834138245276188e+16,2.8994566285494804e+16,2.8834138245276188e+16
0.048,0.010531949111070686,0.006999999999999999,3.167254088766496e+16,3.1474051616808636e+16,3.167254088766496e+16,3.1474051616808636e+16,3.167254088766496e+16,3.1474051616808636e+16,3.167254088766496e+16,3.1474051616808636e+16
0.049,0.010751364717551325,0.006999999999999999,3.2779633450798868e+16,3.2563299530898196e+16,3.2779633450798868e+16,3.2563299530898196e+16,3.2779633450798868e+16,3.2563299530898196e+16,3.2779633450798868e+16,3.2563299530898196e+16
0.05,0.010970780324031966,0.006999999999999999,3.2271652342237412e+16,3.2058548090651e+16,3.2271652342237412e+16,3.2058548090651e+16,3.2271652342237412e+16,3.2058548090651e+16,3.2271652342237412e+16,3.2058548090651e+16
0.051000000000000004,0.011190195930512604,0.006999999999999999,3.0259836587978824e+16,3.0069892325160836e+16,3.0259836587978824e+16,3.0069892325160836e+16,3.0259836587978824e+16,3.0069892325160836e+16,3.0259836587978824e+16,3.0069892325160836e+16
0.052000000000000005,0.011409611536993243,0.006999999999999999,2.6988583744505044e+16,2.683892759210033e+16,2.6988583744505044e+16,2.683892759210033e+16,2.6988583744505044e+16,2.683892759210033e+16,2.6988583744505044e+16,2.683892759210033e+16
0.053,0.011629027143473882,0.006999999999999999,2.2803043927635e+16,2.2706416306692772e+16,2.2803043927635e+16,2.2706416306692772e+16,2.2803043927635e+16,2.2706416306692772e+16,2.2803043927635e+16,2.2706416306692772e+16
0.054,0.011848442749954521,0.006999999999999999,1.8110137773013964e+16,1.807397356922688e+16,1.8110137773013964e+16,1.807397356922688e+16,1.8110137773013964e+16,1.807397356922688e+16,1.8110137773013964e+16,1.807397356922688e+16
0.055,0.012067858356435162,0.006999999999999999,1.333688263107364e+16,1.3362737658399126e+16,1.333688263107364e+16,1.3362737658399126e+16,1.333688263107364e+16,1.3362737658399126e+16,1.333688263107364e+16,1.3362737658399126e+16
0.056,0.0122872739629158,0.006999999999999999,8889884484124215.0,8973471619990989.0,8889884484124215.0,8973471619990989.0,8889884484124215.0,8973471619990989.0,8889884484124215.0,8973471619990989.0
0.057,0.01250668956939644,0.006999999999999999,5119496465021292.0,5251266752767648.0,5119496465021292.0,5251266752767648.0,5119496465021292.0,5251266752767648.0,5119496465021292.0,5251266752767648.0
0.058,0.01272610517587708,0.006999999999999999,2291508537026654.0,2457778451776019.0,2291508537026654.0,2457778451776019.0,2291508537026654.0,2457778451776019.0,2291508537026654.0,2457778451776019.0
0.059000000000000004,0.012945520782357719,0.006999999999999999,568387877699867.0,752650104744284.4,568387877699867.0,752650104744284.4,568387877699867.0,752650104744284.4,568387877699867.0,752650104744284.4
0.06,0.013164936388838358,0.006999999999999999,1120654198000.9482,185663483107287.12,1120654198000.9482,185663483107287.12,1120654198000.9482,185663483107287.12,1120654198000.9482,185663483107287.12
0.061,0.013384351995318997,0.006999999999999999,531703967928260.75,699284265969630.1,531703967928260.75,699284265969630.1,531703967928260.75,699284265969630.1,531703967928260.75,699284265969630.1
0.062,0.013603767601799635,0.006999999999999999,2005390455412589.5,2140766081449032.5,2005390455412589.5,2140766081449032.5,2005390455412589.5,2140766081449032.5,2005390455412589.5,2140766081449032.5
0.063,0.013823183208280276,0.006999999999999999,4190976445629887.0,4282344299227490.0,4190976445629887.0,4282344299227490.0,4190976445629887.0,4282344299227490.0,4190976445629887.0,4282344299227490.0
0.064,0.014042598814760915,0.006999999999999999,6806810893327154.0,6846827405309109.0,6806810893327154.0,6846827405309109.0,6806810893327154.0,6846827405309109.0,6806810893327154.0,6846827405309109.0
