L_rlu,Qz_A_inv,F_real,F_imag,F_abs,F2,R_HT_no_fault_N50,I_HT_no_fault_N50
7.094,1.5565343123736552,-15.053920334594714,-11.630750241604222,19.02353459856766,361.89486862290084,0.154548167833085,3684152425766.246
7.095,1.5567537279801358,-15.149446403611528,-11.795343203078971,19.199891864651725,368.6358476143195,0.1156669641032232,2808653772934.4844
7.096,1.5569731435866165,-15.243509264230704,-11.960473399761046,19.375693500751883,375.41749863507874,0.07832058543693052,1936786462460.334
7.097,1.557192559193097,-15.336107294154091,-12.126130543155206,19.55093933516873,382.23922888744795,0.045798560231283994,1153130304476.9822
7.098,1.5574119747995776,-15.42723893645982,-12.2923043446392,19.72562919918799,389.1004473038578,0.020807418527643905,533299574174.2442
7.099,1.5576313904060584,-15.516902699558496,-12.458984515864191,19.899762927083064,396.0005645541095,0.005236569006671914,136594728758.55634
7.1000000000000005,1.5578508060125391,-15.605097157140648,-12.626160769150115,20.073340356109753,402.9389930522244,1.0472010292801316e-05,277946149.0387565
7.101,1.5580702216190196,-15.691820948131644,-12.793822817883456,20.24636132651046,409.9151469636184,0.005037707318399782,136024833394.0527
7.102,1.5582896372255004,-15.777072776633759,-12.961960376913597,20.418825681509603,416.9284422118761,0.01925805384712433,528889839374.2635
7.103,1.558509052831981,-15.860851411871831,-13.130563162949649,20.590733267314373,423.9782964856868,0.040779464536172295,1138876019657.3618
7.104,1.5587284684384615,-15.943155688135828,-13.299620894953177,20.762083933112617,431.06412924561306,0.0670886837478048,1904945083193.0415
7.105,1.5589478840449422,-16.023984504718467,-13.469123294535779,20.93287753107212,438.185361730864,0.09531293463082477,2751066007004.835
7.106,1.5591672996514228,-16.103336825853997,-13.639060086351083,21.103113916339474,445.3414169660008,0.12250612426390434,3593703072289.6553
7.107,1.5593867152579035,-16.181211680653814,-13.809420998490088,21.27279294704074,452.53171976766635,0.1459316633379359,4350006067362.0884
7.1080000000000005,1.5596061308643843,-16.257608163036224,-13.980195762873787,21.44191448427813,459.75569675109625,0.16331530859203583,4945899862048.537
7.109,1.5598255464708648,-16.332525431658958,-14.151374115643804,21.610478392129593,467.01277633670003,0.17304519516289857,5323283686174.75
7.11,1.5600449620773453,-16.405962709845454,-14.322945797557026,21.77848453764853,474.30238875659614,0.1743019968061951,5445640636208.24
7.111,1.5602643776838259,-16.477919285512694,-14.494900554373565,21.945932790862418,481.62396606105034,0.1671093261822017,5301516065094.116
7.112,1.5604837932903066,-16.548394511090912,-14.667228137249637,22.112823024770748,488.97694212483134,0.15230234611046128,4905533859898.885
7.113,1.5607032088967874,-16.61738780344808,-14.83991830312681,22.27915511534634,496.36075265366304,0.131420346914976,4296861424589.123
7.114,1.560922624503268,-16.6848986438049,-15.012960815119637,22.44492894153065,503.77483519036025,0.10653602764717932,3535283718134.591
7.115,1.5611420401097487,-16.750926577655445,-15.18634544290575,22.61014438523708,511.2186291212679,0.08003977165637992,2695279551478.6553
7.1160000000000005,1.5613614557162294,-16.815471214676034,-15.360061963112393,22.774801331345362,518.6915756822505,0.05440085529233727,1858686849513.9417
7.117,1.5615808713227097,-16.878532228641376,-15.534100159703195,22.93889966770369,526.1931179649765,0.03192899150000244,1106678999983.163
7.118,1.5618002869291905,-16.94010935733037,-15.708449824367369,23.102439285126998,533.7227009229792,0.014558820294433871,511838752867.0821
7.119,1.562019702535671,-17.00020240243642,-15.883100756899202,23.265420077394197,541.279771377617,0.003677061366807948,131103407319.20418
7.12,1.5622391181421518,-17.058811229469516,-16.05804276558879,23.427841941249174,548.8637780241538,7.379130990301519e-06,266784807.60299775
7.121,1.5624585337486325,-17.115935767660396,-16.233265667601714,23.589704776397966,556.474171437613,0.0035620715123172884,130568660786.8562
7.122,1.562677949355113,-17.17157600986167,-16.408759289363324,23.75100848550907,564.110404078724,0.013663079243411574,507696302916.50806
7.123,1.5628973649615938,-17.225732012440883,-16.584513466943324,23.911752974210298,571.7719302996551,0.029028166120884862,1093285868982.6672
7.1240000000000006,1.5631167805680743,-17.278403895184915,-16.76051804643341,24.071938151091228,579.4582063499614,0.04791206988340577,1828766911717.1848
7.125,1.5633361961745549,-17.329591841182985,-16.936762884329692,24.231563927695706,587.1686903820038,0.06828752061774765,2641165029335.3735
7.126,1.5635556117810356,-17.37929609672872,-17.113237847912977,24.39063021852882,594.9028424570113,0.08804769700847288,3450288010282.5396
7.127,1.5637750273875162,-17.427516971199424,-17.28993281562695,24.549136941048207,602.6601245503377,0.10521020749975123,4176588017594.05
7.128,1.563994442993997,-17.47425483694995,-17.466837677456393,24.707084015668034,610.4400005572788,0.11810312935476829,4748929182462.298
7.1290000000000004,1.5642138586004777,-17.51951012919454,-17.64394233530391,24.86447136575559,618.2419362984797,0.1255159152788204,5111502317004.163
7.13,1.5644332742069582,-17.563283345887225,-17.82123670336591,25.021298917628474,626.0653995253159,0.12680181661540602,5229214803971.869
