phi_deg,disabled: none,disabled L=0.10,disabled L=0.10..0.20,disabled L=0.10..0.30,disabled L=0.10..0.40,disabled L=0.10..0.50,disabled L=0.10..0.60,disabled L=0.10..0.70,disabled L=0.10..0.80,disabled L=0.10..0.90,disabled L=0.10..1.00,disabled L=0.10..1.10,disabled L=0.10..1.20,disabled L=0.10..1.30,disabled L=0.10..1.40,disabled L=0.10..1.50,disabled L=0.10..1.60,disabled L=0.10..1.70,disabled L=0.10..1.80,disabled L=0.10..1.90,disabled L=0.10..2.00,disabled L=0.10..2.10,disabled L=0.10..2.20,disabled L=0.10..2.30,disabled L=0.10..2.40,disabled L=0.10..2.50,disabled L=0.10..2.60,disabled L=0.10..2.70,disabled L=0.10..2.80,disabled L=0.10..2.90,disabled L=0.10..3.00,disabled L=0.10..3.10,disabled L=0.10..3.20,disabled L=0.10..3.30,disabled L=0.10..3.40,disabled L=0.10..3.50,disabled L=0.10..3.60,disabled L=0.10..3.70,disabled L=0.10..3.80,disabled L=0.10..3.90,disabled L=0.10..4.00,disabled L=0.10..4.10,disabled L=0.10..4.20,disabled L=0.10..4.30,disabled L=0.10..4.40,disabled L=0.10..4.50,disabled L=0.10..4.60,disabled L=0.10..4.70,disabled L=0.10..4.80,disabled L=0.10..4.90,disabled L=0.10..5.00,disabled L=0.10..5.10,disabled L=0.10..5.20,disabled L=0.10..5.30,disabled L=0.10..5.40,disabled L=0.10..5.50,disabled L=0.10..5.60,disabled L=0.10..5.70,disabled L=0.10..5.80,disabled L=0.10..5.90,disabled L=0.10..6.00
-9.75,1682746210630927.0,1682718221265836.0,514808794407154.5,201963008503098.7,102069372123559.98,55526328735356.03,31908775899662.953,15712700797288.05,5435513126297.927,28717900292.64601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9.25,1822390518489762.0,1822357665922703.0,621684488902012.6,228433107603763.2,119139745077082.84,66598869779651.49,39027770467402.21,21484809727360.74,5586206043897.193,45948761891.55205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.75,2062946218657182.8,2062891628820374.0,744992982701714.5,262160645814450.84,150474251912301.4,77672424747364.97,49107018336762.47,25136262779307.184,7767652747968.414,68917899309.74661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.25,3460975884890109.0,3460841381638115.0,897340700196195.9,325318080041666.44,180624889554022.3,91813801078777.19,58615775186343.87,26638494776002.99,9434966138429.803,112456034767.65698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.75,5551183086939928.0,5550990365318780.0,1030268116643344.6,430803744920776.25,209630459181127.9,118847255568019.06,66414443390792.92,34106550628523.88,9973185916384.814,149387853028.22385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.25,7796742588656215.0,7796542087188283.0,1140669460675710.5,544675988571415.56,241918932857561.9,148341811157586.9,80850127534635.31,41938720386674.78,14162151878316.705,112620746299.2693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.75,9134630446276468.0,9134425664048444.0,1293128871987167.5,635503481958244.1,302525935059853.56,164412993576177.97,95394138277382.3,43697210938431.586,16260209256513.697,48406175079.952805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.25,1.0142223922277842e+16,1.0142010889859802e+16,1768619709250830.2,713227392126764.4,377119510516938.75,181376794000558.97,110172704754358.72,52184574221188.086,16593791112179.666,58594398303.92434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.75,1.0863497526609792e+16,1.0863290444647082e+16,2344264824347306.5,766438164689152.5,435323065228203.3,224470855536451.03,124720064056500.77,67671373244237.38,23766396820261.195,45422634393.025375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.25,1.1114324229453528e+16,1.1114121922297914e+16,2712608865909730.5,912443090542595.4,472628470576012.3,262900377970491.88,140077877511798.55,70676357076174.47,26870231316299.387,28720730080.222054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
