pair_index,pair_id,hkl,source_branch_index,q_group_key,visual_background_x,visual_background_y,visual_simulated_x,visual_simulated_y,visual_dx,visual_dy,visual_distance_px,surface_name,surface_background_x,surface_background_y,surface_simulated_x,surface_simulated_y,surface_dx,surface_dy,surface_distance_px,background_delta_x,background_delta_y,background_delta_px,simulated_delta_x,simulated_delta_y,simulated_delta_px,vector_delta_x,vector_delta_y,vector_delta_px,background_frame_match,simulated_frame_match
5,bg0:pair5,"[-1, 0, 16]",0,"[""q_group"", ""primary"", 1, 16]",1211.4533088564194,434.5785917171996,461.6461295062367,1802.7784013786472,-749.8071793501827,1368.1998096614477,1560.1863752009563,provider_pairs,57.69427286954033,11.731359606813157,57.1802819945689,12.73734664261778,-0.5139908749714266,1.0059870358046226,1.1296886897552192,-1153.759035986879,-422.8472321103864,1228.8041726918034,-404.4658475116678,-1790.0410547360295,1835.1674581475688,749.2931884752112,-1367.1938226256432,1559.0571608895766,False,False
5,bg0:pair5,"[-1, 0, 16]",0,"[""q_group"", ""primary"", 1, 16]",1211.4533088564194,434.5785917171996,461.6461295062367,1802.7784013786472,-749.8071793501827,1368.1998096614477,1560.1863752009563,manual_point_pairs,57.69427286954033,11.731359606813157,57.1802819945689,12.73734664261778,-0.5139908749714266,1.0059870358046226,1.1296886897552192,-1153.759035986879,-422.8472321103864,1228.8041726918034,-404.4658475116678,-1790.0410547360295,1835.1674581475688,749.2931884752112,-1367.1938226256432,1559.0571608895766,False,False
5,bg0:pair5,"[-1, 0, 16]",0,"[""q_group"", ""primary"", 1, 16]",1211.4533088564194,434.5785917171996,461.6461295062367,1802.7784013786472,-749.8071793501827,1368.1998096614477,1560.1863752009563,initial_pairs_display,,,,,,,,,,,,,,,,,False,False
5,bg0:pair5,"[-1, 0, 16]",0,"[""q_group"", ""primary"", 1, 16]",1211.4533088564194,434.5785917171996,461.6461295062367,1802.7784013786472,-749.8071793501827,1368.1998096614477,1560.1863752009563,measured_for_fit,57.69427286954033,11.731359606813157,,,,,,-1153.759035986879,-422.8472321103864,1228.8041726918034,,,,,,,False,False
5,bg0:pair5,"[-1, 0, 16]",0,"[""q_group"", ""primary"", 1, 16]",1211.4533088564194,434.5785917171996,461.6461295062367,1802.7784013786472,-749.8071793501827,1368.1998096614477,1560.1863752009563,"spec[""measured_peaks""]",57.69427286954033,11.731359606813157,,,,,,-1153.759035986879,-422.8472321103864,1228.8041726918034,,,,,,,False,False
6,bg0:pair6,"[-1, 0, 16]",1,"[""q_group"", ""primary"", 1, 16]",1738.867290909798,424.4430928190797,460.5644301688071,1303.5754002437886,-1278.3028607409908,879.1323074247089,1551.4289599387057,provider_pairs,58.12173201702556,-13.731087598395106,57.138588360798785,-12.071332156593854,-0.9831436562267726,1.6597554418012521,1.9290825734964836,-1680.7455588927724,-438.1741804174748,1736.9232125002832,-403.42584180800833,-1315.6467324003825,1376.1100008045519,1277.319717084764,-877.4725519829076,1549.6785922044926,False,False
6,bg0:pair6,"[-1, 0, 16]",1,"[""q_group"", ""primary"", 1, 16]",1738.867290909798,424.4430928190797,460.5644301688071,1303.5754002437886,-1278.3028607409908,879.1323074247089,1551.4289599387057,manual_point_pairs,58.12173201702556,-13.731087598395106,57.138588360798785,-12.071332156593854,-0.9831436562267726,1.6597554418012521,1.9290825734964836,-1680.7455588927724,-438.1741804174748,1736.9232125002832,-403.42584180800833,-1315.6467324003825,1376.1100008045519,1277.319717084764,-877.4725519829076,1549.6785922044926,False,False
6,bg0:pair6,"[-1, 0, 16]",1,"[""q_group"", ""primary"", 1, 16]",1738.867290909798,424.4430928190797,460.5644301688071,1303.5754002437886,-1278.3028607409908,879.1323074247089,1551.4289599387057,initial_pairs_display,,,,,,,,,,,,,,,,,False,False
6,bg0:pair6,"[-1, 0, 16]",1,"[""q_group"", ""primary"", 1, 16]",1738.867290909798,424.4430928190797,460.5644301688071,1303.5754002437886,-1278.3028607409908,879.1323074247089,1551.4289599387057,measured_for_fit,58.12173201702556,-13.731087598395106,,,,,,-1680.7455588927724,-438.1741804174748,1736.9232125002832,,,,,,,False,False
6,bg0:pair6,"[-1, 0, 16]",1,"[""q_group"", ""primary"", 1, 16]",1738.867290909798,424.4430928190797,460.5644301688071,1303.5754002437886,-1278.3028607409908,879.1323074247089,1551.4289599387057,"spec[""measured_peaks""]",58.12173201702556,-13.731087598395106,,,,,,-1680.7455588927724,-438.1741804174748,1736.9232125002832,,,,,,,False,False
