parameter,parameter_value,baseline_value,sweep_min,sweep_max,sweep_source,sweep_index,runtime_s,centroid_shift_px,visible_peak_count,total_peak_weight,centroid_x_px,centroid_y_px,radius_gyration_px,x_span_px,y_span_px,anisotropy_ratio
theta_offset,-0.5,0.0,-0.5,0.5,bounds:absolute,0,0.07042819994967431,42.84558059432264,425.0,2.367406758554085e+18,932.4719361863242,807.4428889276165,949.1366539342648,2516.938219177837,1595.5437708264205,4.387116120010893
theta_offset,-0.33333333333333337,0.0,-0.5,0.5,bounds:absolute,1,0.07029190007597208,20.3612296814208,425.0,2.367406758554085e+18,954.9540846862865,808.2873827156728,953.1317247536605,2453.435844841296,1594.049155650237,4.649851432918486
theta_offset,-0.16666666666666669,0.0,-0.5,0.5,bounds:absolute,2,0.07250219990964979,14.025031997702381,425.0,2.367406758554085e+18,961.4434861879106,812.6199774811487,957.9729081776298,2884.2919316363323,1607.8069822453997,4.568389153055356
theta_offset,0.0,0.0,-0.5,0.5,bounds:absolute,3,0.07023060007486492,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
theta_offset,0.16666666666666663,0.0,-0.5,0.5,bounds:absolute,4,0.07018110004719347,20.71430269075405,425.0,2.367406758554085e+18,954.5832421974479,811.6695920621927,955.5353940892284,2914.3984345975623,1637.701097671845,4.541089388424746
theta_offset,0.33333333333333326,0.0,-0.5,0.5,bounds:absolute,5,0.07016170001588762,1.253357583088483,425.0,2.367406758554085e+18,974.0533246343949,809.6647930679459,963.4581037013207,2453.3120377203427,1626.3014309085218,4.712238104339608
theta_offset,0.5,0.0,-0.5,0.5,bounds:absolute,6,0.11304610001388937,21.40897529642882,425.0,2.367406758554085e+18,953.9356880357122,812.2293920738271,955.5433297781913,2453.3317402633334,1594.0206157133441,4.885335952606689
psi_z,-2.0,0.0,-2.0,2.0,bounds:relative,0,0.07436980004422367,72.04867009474549,425.0,2.367406758554085e+18,909.0972744643504,781.5019367841387,920.8019435905076,2534.402401640141,1599.7949784662937,6.745765287246993
psi_z,-1.3333333333333335,0.0,-2.0,2.0,bounds:relative,1,0.0702921999618411,66.29550338515809,425.0,2.367406758554085e+18,915.1899004040702,781.9803784000926,921.951612642911,2506.3311562642843,1653.4987519302263,6.644600296790008
psi_z,-0.6666666666666667,0.0,-2.0,2.0,bounds:relative,2,0.07148329995106906,6.4717824558296195,425.0,2.367406758554085e+18,969.1963102572854,807.7545453012808,959.9820451960779,2479.4871428509678,1590.2427996637052,4.500404357291564
psi_z,0.0,0.0,-2.0,2.0,bounds:relative,3,0.06952050002291799,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
psi_z,0.6666666666666665,0.0,-2.0,2.0,bounds:relative,4,0.069487200002186,33.91576164656009,425.0,2.367406758554085e+18,941.3415169288292,811.2696157322091,949.3392335397854,2489.116373873684,1598.0136018236637,4.71537173366447
psi_z,1.333333333333333,0.0,-2.0,2.0,bounds:relative,5,0.0700403000228107,43.42331426573387,425.0,2.367406758554085e+18,931.8142486727455,809.7559575178186,943.5371229843975,2459.655657085247,1598.6625693079216,4.605568630714836
psi_z,2.0,0.0,-2.0,2.0,bounds:relative,6,0.07074180000927299,39.07740927523094,425.0,2.367406758554085e+18,937.8762277325243,798.6216487292747,939.695679442053,2431.1680799364253,1599.345703195117,4.540154794765138
chi,-1.0,0.0,-1.0,1.0,bounds:absolute,0,0.07339919998776168,331.8316861926219,425.0,2.367406758554085e+18,1254.9505190732332,988.6067410363477,486.9292016177157,2794.3795141083674,1581.7986882370299,1.4030067998692008
chi,-0.6666666666666667,0.0,-1.0,1.0,bounds:absolute,1,0.06883649993687868,152.14212418317013,425.0,2.367406758554085e+18,823.0946459379167,810.4304623650337,887.2235682658304,2584.9163261517347,1583.3037533680385,4.501767425084897
chi,-0.33333333333333337,0.0,-1.0,1.0,bounds:absolute,2,0.07120519992895424,82.79721112444616,425.0,2.367406758554085e+18,892.4548409141541,808.466971218171,918.7487219772174,2778.9229925029726,1585.5629409324126,4.5100196368676695
chi,0.0,0.0,-1.0,1.0,bounds:absolute,3,0.0709402000065893,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
chi,0.33333333333333326,0.0,-1.0,1.0,bounds:absolute,4,0.0694126000162214,41.552950712094734,425.0,2.367406758554085e+18,953.4807774348485,774.676133281002,941.065116217443,2614.7351356152335,1625.6713416047203,6.901683567340333
chi,0.6666666666666665,0.0,-1.0,1.0,bounds:absolute,5,0.06899759999942034,163.8738309276084,425.0,2.367406758554085e+18,974.8652945880177,973.9521172809443,847.5591876694226,2812.883954018149,1608.1862781791967,5.579214801256435
chi,1.0,0.0,-1.0,1.0,bounds:absolute,6,0.06802640005480498,159.2981949274514,425.0,2.367406758554085e+18,840.6858760256273,895.3552051733446,795.0565446100941,2095.071760739429,1633.5138183978747,5.215199372308395
cor_angle,-2.0,0.0,-2.0,2.0,bounds:absolute,0,0.06998589995782822,18.115146968645345,425.0,2.367406758554085e+18,957.1635053514955,811.3157790277708,954.3982247843178,2451.968591291526,1608.6586918097885,4.623973365897997
cor_angle,-1.3333333333333335,0.0,-2.0,2.0,bounds:absolute,1,0.0700708000222221,14.559356598523594,425.0,2.367406758554085e+18,960.6799787137761,810.3728610204444,957.441235011677,2522.0600244469215,1640.685082022918,4.46588711117648
cor_angle,-0.6666666666666667,0.0,-2.0,2.0,bounds:absolute,2,0.06946549995336682,44.313441197809794,425.0,2.367406758554085e+18,930.9649507338106,812.008235852277,949.8262398637688,2520.83710826206,1583.066283251348,4.627173648465424
cor_angle,0.0,0.0,-2.0,2.0,bounds:absolute,3,0.07136800000444055,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
cor_angle,0.6666666666666665,0.0,-2.0,2.0,bounds:absolute,4,0.07269989990163594,5.025416015845403,425.0,2.367406758554085e+18,980.2612918128343,810.0086961020933,966.3500555832203,2451.2785245926025,1583.051979110827,4.343255346042063
cor_angle,1.333333333333333,0.0,-2.0,2.0,bounds:absolute,5,0.07359649997670203,24.700598823559307,425.0,2.367406758554085e+18,950.5798235555878,811.5533660435964,952.6057124293362,2450.1597894176484,1583.036589619143,4.747376590041439
cor_angle,2.0,0.0,-2.0,2.0,bounds:absolute,6,0.071815500035882,22.69565460589754,425.0,2.367406758554085e+18,952.5591664206859,810.993841001163,956.0138464803005,2515.9042373018015,1626.1305407685757,4.565381297687406
gamma,-1.0010000000000003,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,0,0.07232449995353818,6.509106871337234,425.0,2.367406758554085e+18,979.146068868629,815.2828083225994,963.1808666104259,2449.2355364889113,1581.2546088755412,4.490764358927957
gamma,-0.3343333333333337,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,1,0.08636290009599179,5.626716448537461,425.0,2.367406758554085e+18,979.646772539344,813.5727342294075,963.6131965464363,2450.2883569947803,1581.8587134441989,4.429141665606065
gamma,0.3323333333333329,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,2,0.08255920000374317,2.04080952539426,425.0,2.367406758554085e+18,976.318284204092,811.8091258068077,962.3726541335849,2451.3427322586263,1582.461179747249,4.57135774238106
gamma,0.9989999999999997,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,3,0.07260909990873188,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
gamma,1.6656666666666662,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,4,0.07355309999547899,1.8261438505952203,425.0,2.367406758554085e+18,975.6367324144509,808.296992103334,964.4756121174462,2453.457313625305,1583.6607948016058,4.473081871353712
gamma,2.3323333333333327,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,5,0.09742890007328242,3.706564837435613,425.0,2.367406758554085e+18,975.9805711587804,806.447621531013,964.8600080407889,2454.518110571664,1584.278890786131,4.4174058685724145
gamma,2.9989999999999997,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,6,0.14188560005277395,5.58810508285118,425.0,2.367406758554085e+18,975.9002878242869,804.5301820815218,965.2580404044269,2455.581644638986,1584.8526355224026,4.379997383680155
Gamma,-5.579000000000001,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,0,0.08347770001273602,49.237396842813155,425.0,2.367406758554085e+18,931.3198948165658,787.8151706462231,932.6024309727254,2504.312781971464,1584.0917902456054,6.036793462021267
Gamma,-4.912333333333334,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,1,0.07574520003981888,53.44282974079282,425.0,2.367406758554085e+18,926.4714991823964,788.2126583574781,930.8557217164822,2486.2781615751114,1583.8568601561083,6.009420103490732
Gamma,-4.245666666666668,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,2,0.07442119996994734,5.546430518149726,425.0,2.367406758554085e+18,980.7530368221575,809.5049410086361,967.0267706255341,2468.9873220868376,1583.4132110921237,4.49970162609081
Gamma,-3.5790000000000006,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,3,0.08083360001910478,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
Gamma,-2.912333333333334,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,4,0.08205179998185486,5.47902784194896,425.0,2.367406758554085e+18,969.780196786886,810.5786975044763,961.252379939597,2436.4747976885014,1582.7019596517468,4.554929369006123
Gamma,-2.2456666666666676,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,5,0.07373419997747988,7.105784736043096,425.0,2.367406758554085e+18,968.1916927213316,811.0086476078553,960.1394127097617,2421.1793759233988,1582.3328553848692,4.368114396191076
Gamma,-1.5790000000000002,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,6,0.07420449994970113,12.513443765335852,425.0,2.367406758554085e+18,962.793453774208,811.4054591787524,957.3953167658302,2406.479739707038,1581.9540501003735,4.385826100486616
corto_detector,0.024999999999999994,0.075,0.024999999999999994,0.125,bounds:relative_min0,0,0.08374929998535663,845.0882278146441,425.0,2.367406758554085e+18,1514.2824979205614,1460.9269051640053,130.4198091401012,2233.7448275526017,1673.2205548990373,1.2305348304202033
corto_detector,0.04166666666666666,0.075,0.024999999999999994,0.125,bounds:relative_min0,1,0.08450800005812198,806.9465147796672,425.0,2.367406758554085e+18,1555.387581985929,1370.959479352549,214.68890224359114,2754.1613792543358,1724.4195914983954,1.2661592984480388
corto_detector,0.05833333333333333,0.075,0.024999999999999994,0.125,bounds:relative_min0,2,0.11361709993798286,267.42090678136805,425.0,2.367406758554085e+18,984.4491571423084,1077.34087329672,805.5696218868983,2725.029643521807,1609.2644036334445,4.25346024639032
corto_detector,0.075,0.075,0.024999999999999994,0.125,bounds:relative_min0,3,0.07520710001699626,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
corto_detector,0.09166666666666666,0.075,0.024999999999999994,0.125,bounds:relative_min0,4,0.06780159997288138,97.49123441134462,425.0,2.367406758554085e+18,906.2308808051024,741.210831906619,921.3072351055898,2674.4609427988657,1580.0929979564867,5.110810592850684
corto_detector,0.10833333333333332,0.075,0.024999999999999994,0.125,bounds:relative_min0,5,0.06229509995318949,412.02698118518396,425.0,2.367406758554085e+18,622.568346496546,597.0258890359288,946.2279894456112,2896.5229323986587,1577.1240884940294,3.458670410674004
corto_detector,0.125,0.075,0.024999999999999994,0.125,bounds:relative_min0,6,0.057202800060622394,545.3918146194876,425.0,2.367406758554085e+18,611.160102249161,403.9990253026748,971.7429102089441,2177.688162836286,1574.1551790315725,8.23639694184892
center_x,1536.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,0,0.07091420004144311,38.970012715007094,425.0,2.367406758554085e+18,975.0997406896583,771.108933245009,946.75380622835,2452.3989531990715,1523.0619074189437,4.4714415126756375
center_x,1556.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,1,0.07125959999393672,25.980805765575465,425.0,2.367406758554085e+18,975.1094350231353,784.0982107590684,952.4838639907806,2452.3989531990715,1543.0619074189435,4.491492405516843
center_x,1576.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,2,0.07293809996917844,12.990290975608445,425.0,2.367406758554085e+18,975.2363634869097,797.0884154945437,958.2362037286124,2452.3989531990715,1563.0619074189435,4.50844211473258
center_x,1596.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,3,0.07445279997773468,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
center_x,1616.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,4,0.07105519995093346,12.990290975608787,425.0,2.367406758554085e+18,975.2363634869097,823.0689974457609,970.0041316834905,2452.3989531990715,1603.0619074189435,4.551393675770665
center_x,1636.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,5,0.0750842000124976,26.044826787867713,425.0,2.367406758554085e+18,976.8061519039386,836.0761826310373,974.6138106957527,2452.3989531990715,1623.0619074189435,4.556244220901245
center_x,1656.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,6,0.07461770006921142,39.414124927964124,425.0,2.367406758554085e+18,980.6818975670747,849.1148359199186,982.2977405744863,2452.3989531990715,1643.0619074189435,4.3722561289802035
center_y,1393.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,0,0.07289299997501075,38.970872926825905,425.0,2.367406758554085e+18,936.2654905600838,810.0787064701522,943.1317635969534,2392.3989531990715,1583.0619074189435,4.408443226619621
center_y,1413.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,1,0.07336209993809462,25.98058195121712,425.0,2.367406758554085e+18,949.2557815356926,810.0787064701522,950.0742869336735,2412.3989531990715,1583.0619074189435,4.4485291393569755
center_y,1433.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,2,0.07178900006692857,12.990290975608673,425.0,2.367406758554085e+18,962.246072511301,810.0787064701522,957.0610722894625,2432.3989531990715,1583.0619074189435,4.4889423444051575
center_y,1453.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,3,0.0930291999829933,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
center_y,1473.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,4,0.08997580001596361,12.99029097560856,425.0,2.367406758554085e+18,988.2266544625182,810.0787064701522,971.1636018341139,2472.3989531990715,1583.0619074189435,4.57072116188862
center_y,1493.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,5,0.07654079992789775,25.980581951217346,425.0,2.367406758554085e+18,1001.216945438127,810.0787064701522,978.2774869962176,2492.3989531990715,1583.0619074189435,4.612072536352751
center_y,1513.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,6,0.07208239997271448,30.444111972979755,425.0,2.367406758554085e+18,953.3846866153974,788.8808723419601,949.3477155703423,2512.3989531990715,1583.0619074189435,6.078854634437044
